lji[ 337]:= c664, c664, 4c37, 4c2b, 4c40, 4d21
lji[ 338]:= c816, c816, 4c37, 4c2b, 4c40, 4d21
lji[ 339]:= 476e, 476e, 4c37, 4c2b, 4c40, 4d21
lji[ 340]:= c23e, c23e, 4c37, 4c2b, 4c40, 4d21
lji[ 341]:= 48ae, 48ae, 4c37, 4c2b, 4c40, 4d21
lji[ 342]:= 44c1, 44c1, 4c37, 4c2b, 4c40, 4d21
lji[ 343]:= c559, c559, 4c37, 4c2b, 4c40, 4d21
lji[ 344]:= bb22, bb22, 4c37, 4c2b, 4c40, 4d21
lji[ 345]:= 4429, 4429, 4c37, 4c2b, 4c40, 4d21
lji[ 346]:= c403, c403, 4c37, 4c2b, 4c40, 4d21
lji[ 347]:= 45f1, 45f1, 4c37, 4c2b, 4c40, 4d21
lji[ 348]:= c1a5, c1a5, 4c37, 4c2b, 4c40, 4d21
lji[ 349]:= b4c1, b4c1, 4c37, 4c2b, 4c40, 4d21
lji[ 350]:= 40c1, 40c1, 4c37, 4c2b, 4c40, 4d21
lji[ 351]:= 4475, 4475, 4c37, 4c2b, 4c40, 4d21
lji[ 352]:= 496c, 496c, 4c37, 4c2b, 4c40, 4d21
lji[ 353]:= b722, b722, 4c37, 4c2b, 4c40, 4d21
lji[ 354]:= bd59, bd59, 4c37, 4c2b, 4c40, 4d21
lji[ 355]:= 4559, 4559, 4c37, 4c2b, 4c40, 4d21
lji[ 356]:= 490d, 490d, 4c37, 4c2b, 4c40, 4d21
lji[ 357]:= 3d59, 3d59, 4c37, 4c2b, 4c40, 4d21
lji[ 358]:= c44f, c44f, 4c37, 4c2b, 4c40, 4d21
lji[ 359]:= c322, c322, 4c37, 4c2b, 4c40, 4d21
lji[ 360]:= 3e8a, 3e8a, 4c37, 4c2b, 4c40, 4d21
lji[ 361]:= c992, c992, 4c37, 4c2b, 4c40, 4d21
lji[ 362]:= c0c1, c0c1, 4c37, 4c2b, 4c40, 4d21
