lji[ 334]:= 48fb, 48ee, c7ac, c62c, c817, c1cd
lji[ 335]:= 37c8, 4394, c7ac, c62c, c817, c1cd
lji[ 336]:= 48a8, 45d5, c7ac, c62c, c817, c1cd
lji[ 337]:= c7f4, c4ee, c7ac, c62c, c817, c1cd
lji[ 338]:= c85c, c802, c7ac, c62c, c817, c1cd
lji[ 339]:= 4766, 4990, c7ac, c62c, c817, c1cd
lji[ 340]:= c550, c2db, c7ac, c62c, c817, c1cd
lji[ 341]:= 4abe, 46e2, c7ac, c62c, c817, c1cd
lji[ 342]:= 3660, 44d9, c7ac, c62c, c817, c1cd
lji[ 343]:= c881, c3d8, c7ac, c62c, c817, c1cd
lji[ 344]:= 3dbf, 3d53, c7ac, c62c, c817, c1cd
lji[ 345]:= 44da, 4060, c7ac, c62c, c817, c1cd
lji[ 346]:= c646, c17e, c7ac, c62c, c817, c1cd
lji[ 347]:= 4594, 4679, c7ac, c62c, c817, c1cd
lji[ 348]:= c1e2, c1dc, c7ac, c62c, c817, c1cd
lji[ 349]:= c25a, bb40, c7ac, c62c, c817, c1cd
lji[ 350]:= 40fb, b758, c7ac, c62c, c817, c1cd
lji[ 351]:= 4995, 44b4, c7ac, c62c, c817, c1cd
lji[ 352]:= 49c1, 4bcc, c7ac, c62c, c817, c1cd
lji[ 353]:= bb26, c064, c7ac, c62c, c817, c1cd
lji[ 354]:= c04e, 3f85, c7ac, c62c, c817, c1cd
lji[ 355]:= 455f, 4122, c7ac, c62c, c817, c1cd
lji[ 356]:= 484b, 48ed, c7ac, c62c, c817, c1cd
lji[ 357]:= 3a75, 414f, c7ac, c62c, c817, c1cd
lji[ 358]:= c467, c4ef, c7ac, c62c, c817, c1cd
lji[ 359]:= c474, c267, c7ac, c62c, c817, c1cd
lji[ 360]:= 3ea2, 4214, c7ac, c62c, c817, c1cd
lji[ 361]:= c814, ca0a, c7ac, c62c, c817, c1cd
lji[ 362]:= bed8, c425, c7ac, c62c, c817, c1cd
lji[ 363]:= c423, c104, c7ac, c62c, c817, c1cd
lji[ 364]:= 4421, c024, c7ac, c62c, c817, c1cd
lji[ 365]:= 4b1f, 4a1d, c7ac, c62c, c817, c1cd
lji[ 366]:= cd55, cb2e, c7ac, c62c, c817, c1cd
lji[ 367]:= 4b9c, 4ad8, c7ac, c62c, c817, c1cd
lji[ 368]:= 47ba, 42f5, c7ac, c62c, c817, c1cd
lji[ 369]:= c04d, bcf0, c7ac, c62c, c817, c1cd
lji[ 370]:= cb62, c866, c7ac, c62c, c817, c1cd
lji[ 371]:= 4858, 4172, c7ac, c62c, c817, c1cd
lji[ 372]:= 4924, 45b4, c7ac, c62c, c817, c1cd
lji[ 373]:= c5ab, b8b8, c7ac, c62c, c817, c1cd
lji[ 374]:= 4241, 4318, c7ac, c62c, c817, c1cd
lji[ 375]:= c8e0, c986, c7ac, c62c, c817, c1cd
lji[ 376]:= 46f6, 4915, c7ac, c62c, c817, c1cd
lji[ 377]:= c32c, c4ed, c7ac, c62c, c817, c1cd
lji[ 378]:= 3fd3, 4294, c7ac, c62c, c817, c1cd
lji[ 379]:= 42e3, 4556, c7ac, c62c, c817, c1cd
lji[ 380]:= c4bf, c14b, c7ac, c62c, c817, c1cd
lji[ 381]:= 4c63, 4acf, c7ac, c62c, c817, c1cd
