lij[ 336]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 337]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 338]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 339]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 340]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 341]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 342]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 343]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 344]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 345]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 346]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 347]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 348]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 349]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 350]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 351]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 352]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 353]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 354]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 355]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 356]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 357]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 358]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 359]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 360]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 361]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 362]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 363]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 364]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 365]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 366]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 367]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 368]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 369]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 370]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 371]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 372]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 373]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 374]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 375]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 376]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 377]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 378]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 379]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 380]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 381]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 382]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 383]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 384]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 385]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 386]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 387]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 388]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 389]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 390]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
