lij[ 396]:= 465f, 465f, 47a0, 416b, c16b, c35b
lij[ 397]:= b86c, bde4, 359a, 416b, c16b, c35b
lij[ 398]:= 4087, 4126, 431b, 416b, c16b, c35b
lij[ 399]:= 4518, c50e, c57b, 416b, c16b, c35b
lij[ 400]:= c46a, 4244, c2b3, 416b, c16b, c35b
lij[ 401]:= 4492, c545, c52d, 416b, c16b, c35b
lij[ 402]:= c15a, c136, 452d, 416b, c16b, c35b
lij[ 403]:= 44ac, 445b, 458b, 416b, c16b, c35b
lij[ 404]:= 418e, c05b, c1e8, 416b, c16b, c35b
lij[ 405]:= b072, bb25, 2b81, 416b, c16b, c35b
lij[ 406]:= c4b3, c738, 44ac, 416b, c16b, c35b
lij[ 407]:= c498, c738, 4492, 416b, c16b, c35b
lij[ 408]:= 3cd0, 3582, 3863, 416b, c16b, c35b
lij[ 409]:= 4122, c480, c0e9, 416b, c16b, c35b
lij[ 410]:= c25e, c2e7, 446f, 416b, c16b, c35b
lij[ 411]:= c475, 456c, c498, 416b, c16b, c35b
lij[ 412]:= 45eb, be8e, be83, 416b, c16b, c35b
